asset,rule,direction,era,n,mean,excess
ORELL_ADJ,fvg_disp,1,2010,11,-0.014420104125067102,-0.01573133210426933
ORELL_ADJ,fvg_disp,1,2020,20,0.010401472737028572,0.0027191779809758523
ORELL_ADJ,fvg_disp,-1,1990,7,-0.035584603698993154,0.0077855115805288162
ORELL_ADJ,fvg_disp,-1,2000,23,0.033770200123045588,0.029331654802507386
ORELL_ADJ,fvg_disp,-1,2010,7,0.0023834168275022999,0.0036946448067045243
ORELL_ADJ,fvg_disp,-1,2020,5,0.019371440143115582,0.027053734899168309
ORELL_ADJ,sweep_1,1,1990,5,0.086528850524280471,0.043158735244758509
ORELL_ADJ,sweep_1,1,2000,85,0.0024190266891003583,0.006857572009638554
ORELL_ADJ,sweep_1,1,2010,96,-0.0039407344566585907,-0.0052519624358608151
ORELL_ADJ,sweep_1,1,2020,84,0.0039018417827844524,-0.0037804529732682712
ORELL_ADJ,sweep_fvg,1,1990,2,0.12488842526225252,0.081518309982730547
ORELL_ADJ,sweep_fvg,1,2000,11,0.018761834432654393,0.023200379753192581
ORELL_ADJ,sweep_fvg,1,2010,2,-0.014756130128749545,-0.016067358107951773
ORELL_ADJ,sweep_fvg,1,2020,11,0.016738943441712704,0.0090566486856599807
ORELL_ADJ,sweep_fvg,-1,2000,5,0.0079680921359215791,0.0035295468153833864
ORELL_ADJ,sweep_fvg,-1,2010,2,-0.010115882620394756,-0.0088046546411925317
MATSUI,sweep_1,-1,2000,75,-0.010713626221262984,-0.0052691198852683249
MATSUI,sweep_1,-1,2010,61,-0.012646151518240441,-0.0024692709211196727
MATSUI,sweep_1,-1,2020,66,-0.015447647173731375,-0.0055795927796805705
MATSUI,sweep_1,1,2000,54,0.00088449292826173101,-0.0045600134077329289
MATSUI,sweep_1,1,2010,83,0.015693873586732868,0.0055169929896121024
MATSUI,sweep_1,1,2020,57,0.0046397832903264944,-0.00522827110372431
MATSUI,fvg_disp,-1,2000,30,-0.019265572193788803,-0.013821065857794143
MATSUI,fvg_disp,-1,2010,35,-0.040480998609908052,-0.030304118012787276
MATSUI,fvg_disp,-1,2020,19,-0.015606616038477952,-0.0057385616444271476
MATSUI,sweep_fvg,-1,2000,8,-0.03335679780630918,-0.027912291470314522
MATSUI,sweep_fvg,-1,2010,8,-0.0055626430135308075,0.004614237583589963
MATSUI,sweep_fvg,-1,2020,10,0.022800788048200994,0.032668842442251801
MATSUI,fvg_disp,1,2000,28,-0.0015385765148639152,-0.0069830828508585779
MATSUI,fvg_disp,1,2010,29,-0.013879226817590963,-0.02405610741471173
MATSUI,fvg_disp,1,2020,20,-0.0076218543191861722,-0.017489908713236978
MATSUI,sweep_fvg,1,2000,6,0.07289795171616642,0.067453445380171742
MATSUI,sweep_fvg,1,2010,9,0.0068857727478463466,-0.0032911078492744222
MATSUI,sweep_fvg,1,2020,10,-0.035095328735585705,-0.044963383129636512
MATSUI_ADJ,sweep_1,-1,2000,82,-0.0076913083381549684,-0.0009447038081703673
MATSUI_ADJ,sweep_1,-1,2010,69,-0.014855604647969292,-0.002855084460589968
MATSUI_ADJ,sweep_1,-1,2020,71,-0.014901348251883653,-0.0020803090787669455
MATSUI_ADJ,sweep_1,1,2000,60,-0.0026306918954666727,-0.0093772964254512751
